video_id,title,description,published_at,channel_id,channel_title,category_id,category_name,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count
nJDclWEjGPA,#TheGOATBdayShots | Thalapathy Vijay | Venkat Prabhu | Yuvan Shankar Raja I AGS Entertainment,"A special GOATbdayshots from the film The Greatest Of All Time wishing our Thalapathy a Happy 50th bday!!!

Written & Directed by Venkat Prabhu
Music : Yuvan Shankar Raja
Banner : AGS Entertainment (P) Ltd
Producers : Kalpathi S Aghoram, Kalpathi S Ganesh, Kalpathi S Suresh Creative Producer : Archana Kalpathi
Associate Creative Producer : Aishwarya Kalpathi Executive Producer : S.M.Venkat Manickam Director of Photography : Siddhartha Nuni Production Designer : Rajeevan
Action Director - Dhilip Subbarayan
Editor : Venkat Raajen
Dialogue Writers : Viji & Venkat Prabhu
Additional Screenplay & Dialogue : K.Chandru & Ezhilarasu Gunasekaran
Art Directors : B.Sekar & Surya Rajeevan
Costume designers : Vasuki Baskar & Pallavi Singh
Sound Mix : T Udayakumar
Sound Design : T Udayakumar , Renjith Venugopal, Saravakumar (Sound Vibe) Lyricists : Gangai Amaren, Madhan Karky, Kabilan Vairamuthu, Vivek Choreography : Sathish Krishnan
Stills : D.Maneksha
Promo Stills : Sudharsan
Publicity Designer : Gopi Prasanna
Production Executive : M.Senthikumar, Govindraj & Ramkumar Balasubramanian VFX Head : R.Harihara Suthan
DI : B2H Studios
Character Designer : Preetisheel Singh D’Souza
Direction Team : Kanthan Pitchumani, Saravana Rajan, Veer Ramakrishnan, Thirunavukarasu, Senthil Velayudham, Sasikumar Paramasivan, H.V.Priyan, L.J.Lokie, Prakruthee, Sushmitha Gajendran, Nirmal Chinnayan, Vasanth veeraputhiran ( vv ), Kiruba Robert
Cinematography Team : Abhishek Goud, Naveen Sasi, Sreerangam Sravan, Pradeep Thangavel, Vignesh Madheshwaran, Vivekanandan T.V, Shobika Ramaswamy
Editing Team : Ajith R, Jayasurya D , Vignesh, Sathish
Art Direction Team : Devaraj, Prakash Ravichandran, Mohanraj, Premkumar B Production Managers : S.Mariappan, P.Viswanathan, Sakthi, K.R.Ranganathan Production Team : Kamal Radhakrishnan, Arthi Palanisamy, Suraj J S (Paul) PRO : Nikil Murukan & Riaz K Ahmed
A special GOATbdayshots from the film The Greatest Of All Time wishing our Thalapathy a Happy 50th bday!!!
Written & Directed by Venkat Prabhu
Music : Yuvan Shankar Raja
Banner : AGS Entertainment (P) Ltd
Producers : Kalpathi S Aghoram, Kalpathi S Ganesh, Kalpathi S Suresh Creative Producer : Archana Kalpathi
Associate Creative Producer : Aishwarya Kalpathi Executive Producer : S.M.Venkat Manickam Director of Photography : Siddhartha Nuni Production Designer : Rajeevan
Action : Dilip Subbarayan
Editor : Venkat Raajen
Dialogue Writers : Viji & Venkat Prabhu
Additional Screenplay & Dialogue : K.Chandru & Ezhilarasu Gunasekaran
Art Directors : B.Sekar & Surya Rajeevan
Costume designers : Vasuki Baskar & Pallavi Singh
Sound Mix : T Udayakumar
Sound Design : T Udayakumar , Renjith Venugopal, Saravakumar (Sound Vibe) Lyricists : Gangai Amaren, Madhan Karky, Kabilan Vairamuthu, Vivek Choreography : Sathish Krishnan
Stills : D. Maneksha
Promo Stills : Sudharsan
Publicity Designer : Gopi Prasanna
Production Executive : M.Senthikumar, Govindraj & Ramkumar Balasubramanian VFX Head : R.Harihara Suthan
DI : B2H Studios
Character Designer : Preetisheel Singh D'Souza
Direction Team : Kanthan Pitchumani, Saravana Rajan, Veer Ramakrishnan, Thirunavukarasu, Senthil Velayudham, Sasikumar Paramasivan, H.V.Priyan, L.J.Lokie, Prakruthee, Sushmitha Gajendran, Nirmal Chinnayan, Vasanth veeraputhiran ( vv ), Kiruba Robert
Cinematography Team : Abhishek Goud, Naveen Sasi, Sreerangam Sravan, Pradeep Thangavel, Vignesh Madheshwaran, Vivekanandan T.V, Shobika Ramaswamy
Editing Team : Ajith R, Jayasurya D, Vignesh, Sathish
Art Direction Team : Devaraj, Prakash Ravichandran, Mohanraj, Premkumar B Production Managers : S.Mariappan, P.Viswanathan, Sakthi, K.R.Ranganathan Production Team : Kamal Radhakrishnan, Arthi Palanisamy, Suraj J S (Paul) PRO : Nikil Murukan & Riaz K Ahmed",2024-06-21T18:31:00Z,UC9WXzTgk10ncJX1eOxHElCg,AGS Entertainment,1,Film & Animation,"['Thalapathy Vijay', 'Thalapathy Vijay birthday', 'Happy Birthday Vijay', 'Vijay birthday special video', 'goat life promo Vijay goat life promo', 'The greatest of all time Vijay promo', 'Thalapathy Vijay birthday video', 'Vijay Birthday special goat video', 'A special GOATbdayshots', 'GOATbdayshots', 'Yuvan Shankar Raja', 'thalapathy birthday', 'thalapathy vijay', 'thalapathy birthday today', 'vijay birthday', 'thalapathy vijay birthday', 'vijay birthday video', 'happy birthday thalapathy', 'vijay birthday special']",PT51S,hd,false,8669183,516527,0,0,12222
4P_k0rqmyX8,Chinna Chinna Kangal (Lyrical) | The Greatest Of All Time | Thalapathy Vijay |Venkat Prabhu |Yuvan S,"Get ready to melt in this soul stirring melody of GOAT in the voices of Thalapathy and Bhavatharini. 

Hear is the song  “Chinna Chinna Kangal” from  new Tamil movie “The Greatest of All Time”

Starring Thalapathy Vijay, Prashanth, Prabhudeva, Mohan, Jayaram, Sneha, Laila, Ajmal Amir, Meenakshi Chaudhary, Vaibhav, Yogi Babu, Premgi Amaren, Yugendran Vasudevan, Akilan

#ThalapathyVijay #ChinnaChinnaKangal #TheGoat #TheGreatestOfAllTime 

♪Full Song Available on♪ 
JioSaavn: https://bit.ly/4cyKzra
Spotify: https://bit.ly/3XErKPn
Hungama: https://bit.ly/3xugB8S
Apple Music: https://bit.ly/3Xvvjaf
Gaana: https://bit.ly/3xs52zc
Amazon Prime Music: https://amzn.to/4eBfpl2
Wynk: https://bit.ly/3XvrCBy
YouTube Music: https://bit.ly/3RCfDy8

Credits:
Song Title : Chinna Chinna Kangal
Album/Movie : The Greatest of All Time
Composed by : Yuvan Shankar Raja
Vocals : Thalapathy Vijay, Yuvan Shankar Raja, Raja Bhavatharini
Lyricist : Kabilan Vairamuthu
Written & Directed by Venkat Prabhu
Music : Yuvan Shankar Raja
Banner : AGS Entertainment (P) Ltd
Producers : Kalpathi S Aghoram, Kalpathi S Ganesh, Kalpathi S Suresh
Creative Producer : Archana Kalpathi
Associate Creative Producer : Aishwarya Kalpathi
Executive Producer : S.M.Venkat Manickam
Director of Photography : Siddhartha Nuni
Production Designer : Rajeevan
Action : Dilip Subbarayan
Editor : Venkat Raajen
Dialogue Writers : Viji & Venkat Prabhu
Additional Screenplay & Dialogue : K.Chandru & Ezhilarasu Gunasekaran
Art Directors : B.Sekar & Surya Rajeevan
Costume designers : Vasuki Baskar & Pallavi Singh
Sound Mix : T Udayakumar
Sound Design : T Udayakumar , Renjith Venugopal, Saravakumar (Sound Vibe)
Lyricists : Gangai Amaren, Madhan Karky, Kabilan Vairamuthu, Vivek
Choreography : Sathish Krishnan
Stills : D.Maneksha
Promo Stills : Sudharsan
Publicity Designer : Gopi Prasanna
Production Executive : M.Senthikumar, Govindraj & Ramkumar Balasubramanian
VFX Head : R.Harihara Suthan
DI : B2H Studios
Character Designer : Preetisheel Singh D’Souza
Direction Team : Kanthan Pitchumani, Saravana Rajan, Veer Ramakrishnan, Thirunavukarasu,
Senthil Velayudham, Sasikumar Paramasivan, H.V.Priyan, L.J.Lokie, Prakruthee, Sushmitha
Gajendran, Nirmal Chinnayan, Vasanth veeraputhiran ( vv ), Kiruba Robert
Cinematography Team : Abhishek Goud, Naveen Sasi, Sreerangam Sravan, Pradeep Thangavel,
Vignesh Madheshwaran, Vivekanandan T.V, Shobika Ramaswamy
Editing Team : Ajith R, Jayasurya D , Vignesh, Sathish
Art Direction Team : Devaraj, Prakash Ravichandran, Mohanraj, Premkumar B
Production Managers : S.Mariappan, P.Viswanathan, Sakthi, K.R.Ranganathan
Production Team : Kamal Radhakrishnan, Arthi Palanisamy, Suraj J S (Paul)
PRO : Nikil Murukan & Riaz K Ahmed
Lyric Video by Venky
Musicians Credit :
Song Composed, Arranged and Produced by: YuvanShankarRaja
Lyrics : Kabilan Vairamuthu
Singer : Thalapathy Vijay, YuvanShankarRaja ,Bhavatharini
AI Voice Modeling Technology By: timelessvoices.ai
AI Technical Consultant: TR Krishna Chetan
Strings section: Chennai Strings Orchestra
Strings Conduction: Prabhakar
Song Produced and Recorded @ U1 Records and Ilaiya Raaja Studios, Chennai
Recorded by M Kumaraguruparan
Mixed by Kausikan Sivalingam
Mixed @ Al Watan Studio (Dubai)
Mastered by Kausikan Sivalingam & Lennart Damann
Mastered @ High Tide Studios (Germany)
Music Label - T-Series

Download Song Beat: https://bit.ly/3Cjh24R 

___________________________________
Enjoy & stay connected with us!
👉 Subscribe to T-Series: https://youtube.com/tseries
👉 Like us on Facebook: https://www.facebook.com/tseriesmusic
👉 Follow us on X: https://twitter.com/tseries
👉 Follow us on Instagram: https://instagram.com/tseries.official",2024-06-22T12:02:01Z,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,10,Music,"['hindi songs 2024', 'hindi songs new', 'bollywood songs 2024', 'bollywood movies 2024', 'tseries', 'tseries songs', 'hindi songs', 'chinna chinna kangal', 'chinna chinna kangal song', 'the goat', 'chinna chinna kangal song lyrics', 'chinna chinna kangal the goat', 'greatest of all time', 'thalapathy vijay chinna chinna kangal', 'chinna chinna kangal thalapathy vijay', 'thalapathy vijay song', 'vijay song new', 'chinna chinna kangal yuvan shankar', 'chinna chinna kangal vijay', 'vijay thalapathy chinna chinna kangal']",PT4M42S,hd,false,5957163,567811,0,0,19696
G4u0jS6SRTw,Armaan को पड़ा Kritika और Payal पर Comment मारना भारी! | Bigg Boss OTT 3 | JioCinema Premium,"📲 Download JioCinema: https://bit.ly/3Be09Z3 
🔵 Facebook: https://www.facebook.com/JioCinema 
📸 Instagram: https://www.instagram.com/officialjiocinema/ 
✍ Twitter: https://twitter.com/JioCinema
👉 WhatsApp Channel - https://whatsapp.com/channel/0029VaIGMoTLSmbUpxVrh63P
-----------

Ab sab badlega, mausam badlega, taapman badlega rules naye game wahi - Anil Kapoor ke aane se sab badlega. 24 hours LIVE channel, action-packed latest episodes – all this and more on this season of Bigg Boss OTT. Get ready for a new experience in Bigg Boss OTT Season 3!

#BBOTT #biggboss #AnilKapoor #BBOTT3onJioCinema #BBOTT3 #BiggBoss #JioCinemaPremium


-----------

Armaan को पड़ा Kritika और Payal पर Comment मारना भारी!",2024-06-23T13:30:11Z,UC8To9CFsZzvPafxMLzS08iA,JioCinema,24,Entertainment,"['bigg boss ott 3', 'bigg boss ott 3 contestants', 'bigg boss ott 3 promo', 'bigg boss ott 3 update', 'bigg boss ott 3 live', 'bigg boss ott 3 news', 'bigg boss ott 3 contestants list', 'bigg boss ott season 3', 'anl kapoor bigg boss ott 3', 'bigg boss ott 3 release date', 'bigg boss ott', 'bigg boss ott 3 house', 'bigg boss ott 3 anil kapoor', 'bigg boss', 'armaan malik', 'big boss', 'vada pav girl', 'ott', 'jio cinema', 'bb ott 3', 'anil kapoor', 'big boss ott 3', 'Arman Malik 2 wife bigg boss']",PT40S,hd,false,916576,8775,0,0,374
b8Nt2_EpgvY,Anubhuti kharadina ra || Khordha toka || Funny Angulia || odia comedy vdo,"Experience the joy of trading on Binomo and earn up to 5000 INR per day: http://binomoindia.in/khordha_yt
👉Transparent trading, fast deposits and withdrawals, unlimited demo account and more!
With care from Binomo: your capital may be at risk 🙌",2024-06-24T04:27:52Z,UCmuSPlchjLraieuEs33mcVA,khordha toka,23,Comedy,"['khordha toka', 'new khordha toka vdo', 'dalema vdo', 'buntybhai comedy', 'kharadinia comedy', 'anubhati kharadina ra', 'odiafunny vdo', 'dalema bunty comedy', 'Kharadinia vdoo', 'barsha dinia vdo', 'kharaa', 'garam', 'odiaa comedy', 'bunty new comedy', 'odia comedy vdoo', 'funny Angulia comedy']",PT22M45S,hd,false,206620,26823,0,0,1033
SFiZRQZII1g,Living 24 Hours In Space Capsule : Challenge 🤯,"SUBSCRIBE: https://youtube.com/MRINDIANHACKER?sub_confirmation=1

🚀 Experience the joy of trading on Binomo and earn up to 5000 INR per day: https://binomo.click/indianhacker1
👉Transparent trading, fast deposits and withdrawals, unlimited demo account and more!
With care from Binomo: your capital may be at risk 🙌

FOLLOW KARLO 😘
Instagram : https://www.instagram.com/dilraj_singh_rawat
Twitter : https://www.x.com/MR_INDIANHACKER
Facebook : https://www.facebook.com/mrindianhacker00
--------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------
𝐅𝐨𝐫 𝐁𝐮𝐬𝐢𝐧𝐞𝐬𝐬 & 𝐂𝐨𝐥𝐥𝐚𝐛𝐨𝐫𝐚𝐭𝐢𝐨𝐧'𝐬 𝐂𝐨𝐧𝐭𝐚𝐜𝐭 𝐇𝐞𝐫𝐞:-
Team@mrindianhacker.com
Gaurav@mrindianhacker.com
--------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------",2024-06-22T10:28:03Z,UCSiDGb0MnHFGjs4E2WKvShw,MR. INDIAN HACKER,28,Science & Technology,[],PT27M29S,hd,false,3326409,332322,0,0,10153
4N9N7tyR3gQ,ASKING MONEY FROM S8UL CREATORS,"THANKS FOR WATCHING THE VIDEO. DON'T FORGET TO LIKE, SHARE AND SUBSCRIBE.

KATAYI MAMBA (Our New Channel) - https://youtube.com/channel/UC50C_b43RPSa4q_dlI5yftw
MAMBA SHORTS (Shorts Channel) - https://www.youtube.com/channel/UCgJDSReUYJbtktP5RuUA_qw

THANKS FOR WATCHING THE VIDEO. DON'T FORGET TO LIKE, SHARE AND SUBSCRIBE.

Follow me on my Socials :
INSTAGRAM - https://instagram.com/ig_mamba?igshid...
TWITTER - https://twitter.com/8bitMamba_
ROOTER - https://rooter.sng.link/A46b2/pig1/lua1

Hope you all are having fun & enjoying your life.
GPay - +919149342738
Paytm - +919045440939

Content Creator/Streamer for @s8ul.esports
Managed by 8bit Creatives - https://www.instagram.com/8bit_creatives/

My Business email - mamba@8bitcreatives.in


Follow S8UL Socials.
Facebook: https://www.facebook.com/S8ul-esports...
Instagram: https://www.instagram.com/s8ul.esport...
Twitter: https://twitter.com/S8ulesports?s=09​​
#LoyaltyTest #prank #8bitmamba",2024-06-24T04:30:03Z,UCPzIOAKAvphrnIfa9wFj69w,8bit MAMBA,24,Entertainment,"['8bit', '8bit mamba', 'mamba']",PT19M28S,hd,false,308379,61613,0,0,1721
lUrndDV5Djs,Fight On Equal Ration | Bigg Boss OTT 3 | Now Streaming | JioCinema Premium | 24 hrs Live,"Vegetarians versus non-vegetarians in the house. 

Find out what's cooking in #BiggBossOTT3- tune in to the 24 hrs Live channel on JioCinema Premium.

#BBOTT3onJioCinema #BBOTT3 #BiggBoss #JioCinemaPremium

📲 Download JioCinema: https://bit.ly/3Be09Z3 
🔵 Facebook:  https://www.facebook.com/JioCinema  
📸 Instagram: https://www.instagram.com/officialjiocinema
✍ Twitter:  https://twitter.com/JioCinema",2024-06-22T17:15:50Z,UC8To9CFsZzvPafxMLzS08iA,JioCinema,24,Entertainment,"['bigg boss ott 3', 'shivani bigg boss ott', 'bigg boss ott 3 promo', 'bigg boss ott 3 contestants', 'bigg boss ott 3 live', 'bigg boss ott 3 update', 'bigg boss ott 3 news', 'bigg boss ott 3 contestants list', 'bigg boss ott 3 house', 'anl kapoor bigg boss ott 3', 'bigg boss ott 3 anil kapoor', 'bigg boss ott 3 launch date', 'bigg boss ott season 3', 'bigg boss ott 3 episode 1', 'bigg boss ott', 'bigg boss ott 3 starting date', 'bigg boss', 'anil kapoor', 'bigg boss ott 3 host', 'adnaan shaikh bigg boss ott 3']",PT1M1S,hd,false,1233831,16642,0,0,1524
zih1DnCybl8,"Special Story: ବ୍ରିଜ ଉପରେ ଅଟକିଛି ଟ୍ରେନ, ଇଞ୍ଜିନ ତଳେ ପସିଛନ୍ତି ଡ୍ରାଇଭର","#ଟ୍ରେନ_ତଳେ_ଲୋକୋ_ପାଇଲଟ୍
ଏ ଭିଡ଼ିଓ ଦେଖି ଆପଣଙ୍କ ରୁମ ଟାଙ୍କୁରି ଯିବ। ବ୍ରିଜ ଉପରେ ଅଟକିଛି ଯାତ୍ରୀବାହୀ ଟ୍ରେନ। ଇଞ୍ଜିନ ତଳେ ପେଟେଇ ପେଟେଇ ଆଗକୁ ବଢୁଛନ୍ତି ଜଣେ ଯୁବକ। ରେଲଓ୍ବେ ବ୍ରିଜରେ ମଧ୍ୟ ଆଉଜଣେ ଝୁଲି ରହିଛନ୍ତି। କୌଣସିବି ସମୟରେ ଘଟିପାରେ ଭୟଙ୍କର ଅଘଟଣ ।
#ViralVideo #LocoPilot #Bihar #SpecialStory #OTV 

OdishaTV is Odisha's no 1 News Channel. OTV being the first private satellite TV channel in Odisha carries the onus of charting a course that behoves its pioneering efforts.
Accordingly its charter objectives are FREE, FAIR and UNBIASED. OTV delivers reliable information across all platforms: TV, Internet and Mobile.

Stay tuned for all the breaking news !

Visit Our Website https://odishatv.in/
News In Odia: http://otvkhabar.in/
Android App: https://bit.ly/OTVAndroidApp
iOS App: https://bit.ly/OTViOSApp
Watch Live: https://odishatv.in/live-tv
YouTube: https://goo.gl/Ehz6OP
Watch our latest news in English: https://bit.ly/3wTgKxc
Facebook:  

 / otvkhabar  
OTV English Facebook :  

 / otvnews  
Telegram @otvtelegram @otvkhabar
Twitter:  

 / otvnews  
Instagram:  

 / otvnews  


#OdishaTV #OTV",2024-06-24T00:00:23Z,UC85orSRNRJjruskGKA6HceA,OTV Digital,25,News & Politics,"['otv', 'odisha tv', 'otv live', 'otv digital', 'otv news live', 'otv latest news', 'otv news today', 'otv youtube channel']",PT3M7S,hd,false,157139,3047,0,0,235
4XKQSHAhhx8,Soda Shop पर हुई Bhide की परीक्षा | Taarak Mehta Ka Ooltah Chashmah | Soda Shop Pe Charcha,"Click here to subscribe to Sony Pal: 
https://www.youtube.com/channel/UCw7xjxzbMwgBSmbeYwqYRMg

Tapu Sena runs away from Bhide with the fear of scolding. Bhide writes on the notice board that playing in the society compound is strictly prohibited. All the members of the Gokuldham society try to convince Bhide that he should allow the kids to play.


Show Name – Taarak Mehta Ka Ooltah Chashmah
Star Cast –  Dilip Joshi, Disha Vakani, Amit Bhatt, Raj Anankat
Episode No - 739-753
Produced By -  Asit Kumarr Modi

#TaarakMehtaKaOoltahChashmah #तारकमेहताकाउल्टाचश्मा #sonypal #Latest #tmkoc #TaarakMehtaKaOoltahChashmah2024 #tmkocfunnyepisodes #hindicomedy #comedyvideo 


About Taarak Mehta Ka Ooltah Chashmah:
----------------------------------------------------------------------
The show is inspired by the famous humorous column 'Duniya Ne Undha Chasma' by the eminent Gujarati writer Mr Tarak Mehta. This story evolves around happenings in ""Gokuldham Co-operative Society"" and covers topical issues that are socially relevant. The show predominantly revolves around 'Jethalaal' (Dilip Joshi), an uneducated Gujarati businessman. Your 'Taarak Mehta' (Sailesh Lodha), is his neighbour. 'Jethalaal' finds a friend and philosopher in 'Taarak Mehta' and often goes to him for advice whenever he is in trouble. Jethalaal's family includes his simpleton wife 'Daya Ben' (Disha Wakani) and a mischievous son 'Tapu' (Raj Anankat). Tapu is a menace and a constant source of trouble to all the members of Gokuldham. They have often warned 'Jethalaal' to reform 'Tapu' or be prepared to leave the premises.

Click here to watch the more episodes Soda Shop Pe Charcha : 
https://www.youtube.com/playlist?list=PLfyXOEyr93G1kXmkWTsqo2kenKxZ_LfGX

Soda Shop पर हुई Bhide की परीक्षा | Taarak Mehta Ka Ooltah Chashmah | Soda Shop Pe Charcha",2024-06-23T07:00:03Z,UCw7xjxzbMwgBSmbeYwqYRMg,Sony PAL,24,Entertainment,"['तारक मेहता', 'Ooltah Chashmah', 'taarak mehta latest episodes', 'taarak mehta ka ooltah chashmah', 'hindi comedy show', 'taarak new episode', 'ulta chashma', 'tarak mehta ka ultah chashma', 'taarak mehta episode', 'TMKOC latest episode', 'taark mehta new episodes', 'TMKOC new taarak mehta', 'dilip joshi', 'dilip joshi jethalal', 'TMKOC funny episodes', 'hindi comedy', 'તારક મહેતા કા ઉલ્ટા ચશ્મા', 'Bhide comedy', 'old episode tmkoc', 'funnyvideos 2024', 'TMKOC comedy pal', 'TMKOC', 'palshow', 'Taarak Mehta full ep 739']",PT18M22S,hd,false,741665,8644,0,0,179
a5XAO2vu8lY,The GOAT |  Second Single Promo | Thalapathy Vijay | Venkat Prabhu | Yuvan Shankar Raja,"Get ready to melt in this soul stirring melody of GOAT. 

here is the promo of the song “Chinna Chinna Kangal” the second single from the new Tamil movie “The Greatest of All Time”

 #thalapathyvijay #yuvanshankarraja #Chinnachinnakangal 
---------------------------------
Connect with T-Series Tamil: 👉 http://bit.ly/SubscribeToTseriesTamil
---------------------------------
🎶 Music Slate 🎶
Song Title : Chinna Chinna Kangal
Album/Movie : The Greatest of All Time
Composed by : Yuvan Shankar Raja
Vocals : Thalapathy Vijay, Yuvan Shankar Raja, Raja Bhavatharini
Lyricist : Kabilan Vairamuthu
Written & Directed by Venkat Prabhu
Music : Yuvan Shankar Raja
Banner : AGS Entertainment (P) Ltd
Producers : Kalpathi S Aghoram, Kalpathi S Ganesh, Kalpathi S Suresh
Creative Producer : Archana Kalpathi
Associate Creative Producer : Aishwarya Kalpathi
Executive Producer : S.M.Venkat Manickam
Director of Photography : Siddhartha Nuni
Production Designer : Rajeevan
Action : Dilip Subbarayan
Editor : Venkat Raajen
Dialogue Writers : Viji & Venkat Prabhu
Additional Screenplay & Dialogue : K.Chandru & Ezhilarasu Gunasekaran
Art Directors : B.Sekar & Surya Rajeevan
Costume designers : Vasuki Baskar & Pallavi Singh
Lyricists : Gangai Amaren, Madhan Karky, Kabilan Vairamuthu, Vivek
Choreography : Sathish Krishnan
Stills : D.Maneksha
Promo Stills : Sudharsan
Publicity Designer : Gopi Prasanna
Production Executive : M.Senthikumar, Govindraj & Ramkumar Balasubramanian
VFX : R.Harihara Suthan
DI : B2H Studios
Character Designer : Preetisheel Singh D’Souza
Direction Team : Kanthan Pitchumani, Saravana Rajan, Veer Ramakrishnan, Thirunavukarasu,
Senthil Velayudham, Sasikumar Paramasivan, H.V.Priyan, L.J.Lokie, Prakruthee, Sushmitha
Gajendran, Nirmal Chinnayan, Vasanth veeraputhiran ( vv ), Kiruba Robert
Cinematography Team : Abhishek Goud, Naveen Sasi, Sreerangam Sravan, Pradeep Thangavel,
Vignesh Madheshwaran, Vivekanandan T.V, Shobika Ramaswamy

Editing Team : Ajith R, Jayasurya D , Vignesh, Sathish
Art Direction Team : Devaraj, Prakash Ravichandran, Mohanraj, Premkumar B
Production Managers : S.Mariappan, P.Viswanathan, Sakthi, K.R.Ranganathan
Production Team : Kamal Radhakrishnan, Arthi Palanisamy, Suraj J S (Paul)
PRO : Nikil Murukan & Riaz K Ahmed
Lyric Video by Venky
Musicians Credit :
Song Composed, Arranged and Produced by: YuvanShankarRaja
Lyrics : Kabilan Vairamuthu
Singer : Thalapathy Vijay, YuvanShankarRaja ,Bhavatharini
AI Voice Modeling Technology By: timelessvoices.ai
AI Technical Consultant: TR Krishna Chetan
Strings section: Chennai Strings Orchestra
Strings Conduction: Prabhakar
Song Produced and Recorded @ U1 Records and Ilaiyaraaja Studios, Chennai
Recorded by M Kumaraguruparan
Mixed by Kausikan Sivalingam
Mixed @ Al Watan Studio (Dubai)
Mastered by Kausikan Sivalingam & Lennart Damann
Mastered @ High Tide Studios (Germany)
 
Music Label: T-Series
------------------------------
Enjoy & stay connected with us!!

👉Subscribe to T-Series Tamil: http://bit.ly/SubscribeToTseriesTamil
👉Like us on Facebook: https://www.facebook.com/TseriesTamil
👉Follow us on Instagram: http://bit.ly/InstagramT-SeriesSouthOffical
👉Follow us on Twitter: http://bit.ly/TwitterT-SeriesSouthOffical

Thanks Everyone for Watching Our Latest Tamil Song 2024. If you like the song than Please SUBSCRIBE Our Channel With Bell Icon to get notification of all of our newest releases. Will Make Sure to provide best Tamil songs of all time.",2024-06-21T13:00:43Z,UCAEv0ANkT221wXsTnxFnBsQ,T-Series Tamil,10,Music,"['Tamil Songs', 'Latest Tamil Songs', 'Tamil Love song', 'tamil Melody Song', 'tamil Hits', 'Tamil New Release', 'Tamil Latest Songs 2024', 'Latest songs in Tamil', 'Songs in Tamil', 'Tamil Movie Songs', 'latest Tamil Love Songs', 'Latest Tamil Hit Songs', 'Tamil New Release 2024']",PT29S,hd,false,1463719,106801,0,0,1982
